movieId,SequenceNumber
1,1
3,2
6,3
47,4
50,5
70,6
101,7
110,8
151,9
157,10
163,11
216,12
223,13
231,14
235,15
260,16
296,17
316,18
333,19
349,20
356,21
362,22
367,23
423,24
441,25
457,26
480,27
500,28
527,29
543,30
552,31
553,32
590,33
592,34
593,35
596,36
608,37
648,38
661,39
673,40
733,41
736,42
780,43
804,44
919,45
923,46
940,47
943,48
954,49
1009,50
1023,51
1024,52
1025,53
1029,54
1030,55
1031,56
1032,57
1042,58
1049,59
1060,60
1073,61
1080,62
1089,63
1090,64
1092,65
1097,66
1127,67
1136,68
1196,69
1197,70
1198,71
1206,72
1208,73
1210,74
1213,75
1214,76
1219,77
1220,78
1222,79
1224,80
1226,81
1240,82
1256,83
1258,84
1265,85
1270,86
1275,87
1278,88
1282,89
1291,90
1298,91
1348,92
1377,93
1396,94
1408,95
1445,96
1473,97
1500,98
1517,99
1552,100
1573,101
1580,102
1587,103
1617,104
1620,105
1625,106
1644,107
1676,108
1732,109
1777,110
1793,111
1804,112
1805,113
1920,114
1927,115
1954,116
1967,117
2000,118
2005,119
2012,120
2018,121
2028,122
2033,123
2046,124
2048,125
2054,126
2058,127
2078,128
2090,129
2093,130
2094,131
2096,132
2099,133
2105,134
2115,135
2116,136
2137,137
2139,138
2141,139
2143,140
2161,141
2174,142
2193,143
2253,144
2268,145
2273,146
2291,147
2329,148
2338,149
2353,150
2366,151
2387,152
2389,153
2395,154
2406,155
2414,156
2427,157
2450,158
2459,159
2470,160
2478,161
2492,162
2502,163
2528,164
2529,165
2542,166
2571,167
2580,168
2596,169
2616,170
2617,171
2628,172
2640,173
2641,174
2644,175
2648,176
2654,177
2657,178
2692,179
2700,180
2716,181
2761,182
2797,183
2826,184
2858,185
2872,186
2899,187
2916,188
2944,189
2947,190
2948,191
2949,192
2959,193
2985,194
2987,195
2991,196
2993,197
2997,198
3033,199
3034,200
3052,201
3053,202
3062,203
3147,204
3168,205
3176,206
3243,207
3247,208
3253,209
3273,210
3386,211
3439,212
3440,213
3441,214
3448,215
3450,216
3479,217
3489,218
3527,219
3578,220
3617,221
3639,222
3671,223
3702,224
3703,225
3729,226
3740,227
3744,228
3793,229
3809,230
4006,231
5060,232
318,233
1704,234
6874,235
8798,236
46970,237
48516,238
58559,239
60756,240
68157,241
71535,242
74458,243
77455,244
79132,245
80489,246
80906,247
86345,248
89774,249
91529,250
91658,251
99114,252
106782,253
109487,254
112552,255
114060,256
